countryiso3code,country,date,gini,subsequent_growth
NOR,Norway,2011,25.3,0.7850738350724311
NOR,Norway,2010,25.7,0.7201198654132425
PAK,Pakistan,2018,29.6,0.6558640195213021
PAK,Pakistan,2015,31.3,2.068505525870642
PAK,Pakistan,2013,29.5,3.5871630686231257
PAK,Pakistan,2011,29.7,2.8584312231736817
PAK,Pakistan,2010,28.8,1.9011684102847286
PAN,Panama,2018,49.2,2.603435322372854
PAN,Panama,2017,49.9,1.88771304185862
PAN,Panama,2016,50.4,0.748973677446188
PAN,Panama,2015,50.8,-1.7089501541018959
PAN,Panama,2014,50.5,2.771675616097722
PAN,Panama,2013,51.5,3.042733187494766
PAN,Panama,2012,51.7,3.5014995829291906
PAN,Panama,2011,51.3,4.253896296791016
PAN,Panama,2010,51.6,5.686008934052154
PRY,Paraguay,2018,46.0,0.33832422563835196
PRY,Paraguay,2017,48.5,-0.10545431013819004
PRY,Paraguay,2016,47.9,0.7916945476216959
PRY,Paraguay,2015,47.6,0.7962775489265019
PRY,Paraguay,2014,50.7,1.519515736020578
PRY,Paraguay,2013,47.9,2.6250704062375183
PRY,Paraguay,2012,47.6,3.618444002300204
